filename,pipeline,scale,blur_kernel,noise_sigma,jpeg_quality
image_0001.png,LR_01_resize,4,,,
image_0001.png,LR_02_blur_resize,4,7.0,,
image_0001.png,LR_03_resize_noise,4,,2.667986408994082,
image_0001.png,LR_04_blur_resize_jpeg,4,7.0,,67.0
image_0001.png,LR_05_resize_noise_jpeg,4,,3.469351122820857,58.0
image_0001.png,LR_06_realistic,4,7.0,2.614971057029045,84.0
image_0002.jpg,LR_01_resize,4,,,
image_0002.jpg,LR_02_blur_resize,4,3.0,,
image_0002.jpg,LR_03_resize_noise,4,,5.5429550746942375,
image_0002.jpg,LR_04_blur_resize_jpeg,4,3.0,,51.0
image_0002.jpg,LR_05_resize_noise_jpeg,4,,2.5621714391695547,64.0
image_0002.jpg,LR_06_realistic,4,7.0,5.6121123742998815,85.0
image_0003.jpg,LR_01_resize,4,,,
image_0003.jpg,LR_02_blur_resize,4,3.0,,
image_0003.jpg,LR_03_resize_noise,4,,6.29611767753442,
image_0003.jpg,LR_04_blur_resize_jpeg,4,7.0,,84.0
image_0003.jpg,LR_05_resize_noise_jpeg,4,,4.517118925769952,78.0
image_0003.jpg,LR_06_realistic,4,7.0,3.6691442493839763,50.0
image_0004.jpg,LR_01_resize,4,,,
image_0004.jpg,LR_02_blur_resize,4,3.0,,
image_0004.jpg,LR_03_resize_noise,4,,6.188836369929361,
image_0004.jpg,LR_04_blur_resize_jpeg,4,5.0,,67.0
image_0004.jpg,LR_05_resize_noise_jpeg,4,,2.9328769988706895,71.0
image_0004.jpg,LR_06_realistic,4,3.0,2.5564750602808877,56.0
image_0006.jpg,LR_01_resize,4,,,
image_0006.jpg,LR_02_blur_resize,4,5.0,,
image_0006.jpg,LR_03_resize_noise,4,,7.084966198084759,
image_0006.jpg,LR_04_blur_resize_jpeg,4,7.0,,66.0
image_0006.jpg,LR_05_resize_noise_jpeg,4,,6.842769639646281,79.0
image_0006.jpg,LR_06_realistic,4,7.0,2.7489569771192564,74.0
image_0007.jpg,LR_01_resize,4,,,
image_0007.jpg,LR_02_blur_resize,4,3.0,,
image_0007.jpg,LR_03_resize_noise,4,,5.312243787639362,
image_0007.jpg,LR_04_blur_resize_jpeg,4,7.0,,73.0
image_0007.jpg,LR_05_resize_noise_jpeg,4,,5.464112871540572,54.0
image_0007.jpg,LR_06_realistic,4,3.0,5.967579911406261,68.0
image_0008.jpg,LR_01_resize,4,,,
image_0008.jpg,LR_02_blur_resize,4,3.0,,
image_0008.jpg,LR_03_resize_noise,4,,7.131906326090881,
image_0008.jpg,LR_04_blur_resize_jpeg,4,3.0,,74.0
image_0008.jpg,LR_05_resize_noise_jpeg,4,,3.6678416186605527,73.0
image_0008.jpg,LR_06_realistic,4,3.0,4.221085802701296,63.0
image_0009.jpg,LR_01_resize,4,,,
image_0009.jpg,LR_02_blur_resize,4,7.0,,
image_0009.jpg,LR_03_resize_noise,4,,3.60186693229468,
image_0009.jpg,LR_04_blur_resize_jpeg,4,7.0,,54.0
image_0009.jpg,LR_05_resize_noise_jpeg,4,,5.654786034001929,60.0
image_0009.jpg,LR_06_realistic,4,7.0,6.374760787702095,60.0
image_0010.jpg,LR_01_resize,4,,,
image_0010.jpg,LR_02_blur_resize,4,5.0,,
image_0010.jpg,LR_03_resize_noise,4,,4.2767326505458865,
image_0010.jpg,LR_04_blur_resize_jpeg,4,7.0,,85.0
image_0010.jpg,LR_05_resize_noise_jpeg,4,,3.317691043821614,70.0
image_0010.jpg,LR_06_realistic,4,3.0,3.3742884317846262,52.0
image_0011.jpg,LR_01_resize,4,,,
image_0011.jpg,LR_02_blur_resize,4,5.0,,
image_0011.jpg,LR_03_resize_noise,4,,4.406988722133974,
image_0011.jpg,LR_04_blur_resize_jpeg,4,3.0,,63.0
image_0011.jpg,LR_05_resize_noise_jpeg,4,,7.47881674511327,70.0
image_0011.jpg,LR_06_realistic,4,3.0,5.932631991769281,75.0
image_0012.jpg,LR_01_resize,4,,,
image_0012.jpg,LR_02_blur_resize,4,7.0,,
image_0012.jpg,LR_03_resize_noise,4,,4.753111115524392,
image_0012.jpg,LR_04_blur_resize_jpeg,4,5.0,,58.0
image_0012.jpg,LR_05_resize_noise_jpeg,4,,3.4797650461639007,85.0
image_0012.jpg,LR_06_realistic,4,7.0,3.5764496511376116,77.0
image_0013.jpg,LR_01_resize,4,,,
image_0013.jpg,LR_02_blur_resize,4,7.0,,
image_0013.jpg,LR_03_resize_noise,4,,4.396403030842384,
image_0013.jpg,LR_04_blur_resize_jpeg,4,3.0,,58.0
image_0013.jpg,LR_05_resize_noise_jpeg,4,,5.057157762058787,55.0
image_0013.jpg,LR_06_realistic,4,3.0,7.166617457999995,59.0
image_0014.jpg,LR_01_resize,4,,,
image_0014.jpg,LR_02_blur_resize,4,7.0,,
image_0014.jpg,LR_03_resize_noise,4,,2.9598920103347015,
image_0014.jpg,LR_04_blur_resize_jpeg,4,7.0,,77.0
image_0014.jpg,LR_05_resize_noise_jpeg,4,,5.578454184391843,74.0
image_0014.jpg,LR_06_realistic,4,5.0,5.575330570166768,79.0
image_0015.jpg,LR_01_resize,4,,,
image_0015.jpg,LR_02_blur_resize,4,7.0,,
image_0015.jpg,LR_03_resize_noise,4,,3.508484719890879,
image_0015.jpg,LR_04_blur_resize_jpeg,4,7.0,,50.0
image_0015.jpg,LR_05_resize_noise_jpeg,4,,6.081700461539111,57.0
image_0015.jpg,LR_06_realistic,4,7.0,7.308730700774654,67.0
image_0016.png,LR_01_resize,4,,,
image_0016.png,LR_02_blur_resize,4,7.0,,
image_0016.png,LR_03_resize_noise,4,,4.041052838186271,
image_0016.png,LR_04_blur_resize_jpeg,4,5.0,,77.0
image_0016.png,LR_05_resize_noise_jpeg,4,,2.9489465260680183,50.0
